"Species","Island","Culmen.Length..mm.","Culmen.Depth..mm.","Flipper.Length..mm.","Body.Mass..g.","Delta.15.N..o.oo.","Delta.13.C..o.oo.","Sex"
"Chinstrap","Dream",54.2,20.8,201,4300,9.49283,-24.59996,"MALE"
"Chinstrap","Dream",42.5,16.7,187,3350,9.36668,-24.45195,"FEMALE"
"Chinstrap","Dream",51,18.8,203,4100,9.23196,-24.17282,"MALE"
"Chinstrap","Dream",49.7,18.6,195,3600,9.75486,-24.31198,"MALE"
"Chinstrap","Dream",47.5,16.8,199,3900,9.07825,-25.1455,"FEMALE"
"Chinstrap","Dream",47.6,18.3,195,3850,8.83502,-24.65859,"FEMALE"
"Chinstrap","Dream",52,20.7,210,4800,9.43146,-24.6844,"MALE"
"Chinstrap","Dream",46.9,16.6,192,2700,9.80589,-24.73735,"FEMALE"
"Chinstrap","Dream",53.5,19.9,205,4500,10.02544,-24.90816,"MALE"
"Chinstrap","Dream",49,19.5,210,3950,9.53262,-24.66867,"MALE"
"Chinstrap","Dream",46.2,17.5,187,3650,9.61734,-24.66188,"FEMALE"
"Chinstrap","Dream",50.9,19.1,196,3550,10.02372,-24.86594,"MALE"
"Chinstrap","Dream",45.5,17,196,3500,9.36493,-24.66259,"FEMALE"
"Chinstrap","Dream",50.9,17.9,196,3675,9.43684,-24.16566,"FEMALE"
"Chinstrap","Dream",50.8,18.5,201,4450,9.45827,-24.35575,"MALE"
"Chinstrap","Dream",50.1,17.9,190,3400,9.46819,-24.45721,"FEMALE"
"Chinstrap","Dream",49,19.6,212,4300,9.34089,-24.45189,"MALE"
"Chinstrap","Dream",51.5,18.7,187,3250,9.6895,-24.43062,"MALE"
"Chinstrap","Dream",49.8,17.3,198,3675,9.32169,-24.41562,"FEMALE"
"Chinstrap","Dream",48.1,16.4,199,3325,9.46929,-24.48403,"FEMALE"
"Chinstrap","Dream",51.4,19,201,3950,9.43782,-24.36202,"MALE"
"Chinstrap","Dream",45.7,17.3,193,3600,9.415,-24.805,"FEMALE"
"Chinstrap","Dream",50.7,19.7,203,4050,9.93727,-24.59066,"MALE"
"Chinstrap","Dream",42.5,17.3,187,3350,9.56534,-24.60882,"FEMALE"
"Chinstrap","Dream",52.2,18.8,197,3450,9.77528,-24.56481,"MALE"
"Chinstrap","Dream",45.2,16.6,191,3250,9.62357,-24.78984,"FEMALE"
"Chinstrap","Dream",49.3,19.9,203,4050,9.88809,-24.59513,"MALE"
"Chinstrap","Dream",50.2,18.8,202,3800,9.74492,-24.404,"MALE"
"Chinstrap","Dream",45.6,19.4,194,3525,9.46985,-24.65786,"FEMALE"
"Chinstrap","Dream",46.8,16.5,189,3650,9.65061,-24.48153,"FEMALE"
"Chinstrap","Dream",45.7,17,195,3650,9.26715,-24.31912,"FEMALE"
"Chinstrap","Dream",55.8,19.8,207,4000,9.70465,-24.53494,"MALE"
"Chinstrap","Dream",43.5,18.1,202,3400,9.37608,-24.40753,"FEMALE"
"Chinstrap","Dream",49.6,18.2,193,3775,9.4618,-24.70615,"MALE"
"Chinstrap","Dream",50.8,19,210,4100,9.98044,-24.68741,"MALE"
"Chinstrap","Dream",50.2,18.7,198,3775,9.39305,-24.25255,"FEMALE"
"Gentoo","Biscoe",46.1,13.2,211,4500,7.993,-25.5139,"FEMALE"
"Gentoo","Biscoe",50,16.3,230,5700,8.14756,-25.39369,"MALE"
"Gentoo","Biscoe",48.7,14.1,210,4450,8.14705,-25.46172,"FEMALE"
"Gentoo","Biscoe",50,15.2,218,5700,8.2554,-25.40075,"MALE"
"Gentoo","Biscoe",47.6,14.5,215,5400,8.2345,-25.54456,"MALE"
"Gentoo","Biscoe",46.5,13.5,210,4550,7.9953,-25.32829,"FEMALE"
"Gentoo","Biscoe",45.4,14.6,211,4800,8.24515,-25.46782,"FEMALE"
"Gentoo","Biscoe",46.7,15.3,219,5200,8.22673,-25.4276,"MALE"
"Gentoo","Biscoe",43.3,13.4,209,4400,8.13643,-25.32176,"FEMALE"
"Gentoo","Biscoe",46.8,15.4,215,5150,8.1631,-25.38017,"MALE"
"Gentoo","Biscoe",40.9,13.7,214,4650,8.19579,-25.3933,"FEMALE"
"Gentoo","Biscoe",49,16.1,216,5550,8.10417,-25.50562,"MALE"
"Gentoo","Biscoe",45.5,13.7,214,4650,7.77672,-25.4168,"FEMALE"
"Gentoo","Biscoe",48.4,14.6,213,5850,7.8208,-25.48025,"MALE"
"Gentoo","Biscoe",45.8,14.6,210,4200,7.79958,-25.62618,"FEMALE"
"Gentoo","Biscoe",49.3,15.7,217,5850,8.07137,-25.52473,"MALE"
"Gentoo","Biscoe",42,13.5,210,4150,7.63884,-25.52627,"FEMALE"
"Gentoo","Biscoe",49.2,15.2,221,6300,8.27376,-25.00169,"MALE"
"Gentoo","Biscoe",46.2,14.5,209,4800,7.84057,-25.37899,"FEMALE"
"Gentoo","Biscoe",48.7,15.1,222,5350,7.96491,-25.39587,"MALE"
"Gentoo","Biscoe",50.2,14.3,218,5700,7.8962,-25.37746,"MALE"
"Gentoo","Biscoe",45.1,14.5,215,5000,7.6322,-25.46569,"FEMALE"
"Gentoo","Biscoe",46.5,14.5,213,4400,7.90436,-25.3947,"FEMALE"
"Gentoo","Biscoe",46.3,15.8,215,5050,7.90971,-25.38157,"MALE"
"Gentoo","Biscoe",42.9,13.1,215,5000,7.68528,-25.39181,"FEMALE"
"Gentoo","Biscoe",46.1,15.1,215,5100,7.83733,-25.42826,"MALE"
"Gentoo","Biscoe",47.8,15,215,5650,7.92358,-25.48383,"MALE"
"Gentoo","Biscoe",48.2,14.3,210,4600,7.6887,-25.50811,"FEMALE"
"Gentoo","Biscoe",50,15.3,220,5550,8.30515,-25.19017,"MALE"
"Gentoo","Biscoe",42.8,14.2,209,4700,7.63452,-25.46327,"FEMALE"
"Gentoo","Biscoe",45.1,14.5,207,5050,7.97408,-25.53768,"FEMALE"
"Gentoo","Biscoe",59.6,17,230,6050,7.76843,-25.6821,"MALE"
"Gentoo","Biscoe",49.1,14.8,220,5150,7.89744,-26.63405,"FEMALE"
"Gentoo","Biscoe",48.4,16.3,220,5400,8.03659,-26.86127,"MALE"
"Gentoo","Biscoe",42.6,13.7,213,4950,7.96935,-26.70968,"FEMALE"
"Gentoo","Biscoe",44.4,17.3,219,5250,8.13746,-26.79093,"MALE"
"Gentoo","Biscoe",44,13.6,208,4350,8.01979,-26.68311,"FEMALE"
"Gentoo","Biscoe",48.7,15.7,208,5350,8.14776,-26.84506,"MALE"
"Gentoo","Biscoe",42.7,13.7,208,3950,8.14567,-26.59467,"FEMALE"
"Gentoo","Biscoe",49.6,16,225,5700,8.38324,-26.84272,"MALE"
"Gentoo","Biscoe",45.3,13.7,210,4300,8.37615,-26.72791,"FEMALE"
"Gentoo","Biscoe",49.6,15,216,4750,8.26548,-26.7699,"MALE"
"Gentoo","Biscoe",50.5,15.9,222,5550,8.46894,-26.60436,"MALE"
"Gentoo","Biscoe",43.6,13.9,217,4900,8.27141,-26.7765,"FEMALE"
"Gentoo","Biscoe",45.5,13.9,210,4200,8.47829,-26.61788,"FEMALE"
"Gentoo","Biscoe",50.5,15.9,225,5400,8.65803,-26.57585,"MALE"
"Gentoo","Biscoe",44.9,13.3,213,5100,8.45167,-26.89644,"FEMALE"
"Gentoo","Biscoe",45.2,15.8,215,5300,8.55868,-26.67799,"MALE"
"Gentoo","Biscoe",46.6,14.2,210,4850,8.38289,-26.86352,"FEMALE"
"Gentoo","Biscoe",48.5,14.1,220,5300,8.39867,-26.79358,"MALE"
"Gentoo","Biscoe",45.1,14.4,210,4400,8.51951,-27.01854,"FEMALE"
"Gentoo","Biscoe",50.1,15,225,5000,8.50153,-26.61414,"MALE"
"Gentoo","Biscoe",46.5,14.4,217,4900,8.48789,-26.83006,"FEMALE"
"Gentoo","Biscoe",45,15.4,220,5050,8.63488,-26.75621,"MALE"
"Gentoo","Biscoe",43.8,13.9,208,4300,8.58319,-26.84415,"FEMALE"
"Gentoo","Biscoe",45.5,15,220,5000,8.63604,-26.7489,"MALE"
"Gentoo","Biscoe",43.2,14.5,208,4450,8.48367,-26.86485,"FEMALE"
"Gentoo","Biscoe",50.4,15.3,224,5550,8.74647,-26.79846,"MALE"
"Gentoo","Biscoe",45.3,13.8,208,4200,8.65015,-26.79053,"FEMALE"
"Gentoo","Biscoe",46.2,14.9,221,5300,8.60092,-26.84374,"MALE"
"Gentoo","Biscoe",45.7,13.9,214,4400,8.6287,-26.60484,"FEMALE"
"Gentoo","Biscoe",54.3,15.7,231,5650,8.49662,-26.84166,"MALE"
"Gentoo","Biscoe",45.8,14.2,219,4700,8.60447,-26.61601,"FEMALE"
"Gentoo","Biscoe",49.8,16.8,230,5700,8.47067,-26.69166,"MALE"
"Gentoo","Biscoe",49.5,16.2,229,5800,8.49854,-26.74809,"MALE"
"Gentoo","Biscoe",43.5,14.2,220,4700,8.64931,-26.68867,"FEMALE"
"Gentoo","Biscoe",50.7,15,223,5550,8.63551,-26.74249,"MALE"
"Gentoo","Biscoe",47.7,15,216,4750,8.53018,-26.72751,"FEMALE"
"Gentoo","Biscoe",46.4,15.6,221,5000,8.35078,-26.70783,"MALE"
"Gentoo","Biscoe",48.2,15.6,221,5100,8.24651,-26.66958,"MALE"
"Gentoo","Biscoe",46.5,14.8,217,5200,8.58487,-26.5929,"FEMALE"
"Gentoo","Biscoe",46.4,15,216,4700,8.47938,-26.9547,"FEMALE"
"Gentoo","Biscoe",48.6,16,230,5800,8.5964,-26.71199,"MALE"
"Gentoo","Biscoe",47.5,14.2,209,4600,8.39299,-26.78733,"FEMALE"
"Gentoo","Biscoe",51.1,16.3,220,6000,8.40327,-26.76821,"MALE"
"Gentoo","Biscoe",45.2,13.8,215,4750,8.24694,-26.65359,"FEMALE"
"Gentoo","Biscoe",45.2,16.4,223,5950,8.19749,-26.65931,"MALE"
"Gentoo","Biscoe",49.1,14.5,212,4625,8.35802,-26.2766,"FEMALE"
"Gentoo","Biscoe",52.5,15.6,221,5450,8.28601,-26.27573,"MALE"
"Gentoo","Biscoe",47.4,14.6,212,4725,8.19101,-26.24369,"FEMALE"
"Gentoo","Biscoe",50,15.9,224,5350,8.20042,-26.39677,"MALE"
"Gentoo","Biscoe",44.9,13.8,212,4750,8.11238,-26.20372,"FEMALE"
"Gentoo","Biscoe",50.8,17.3,228,5600,8.27428,-26.30019,"MALE"
"Gentoo","Biscoe",43.4,14.4,218,4600,8.23468,-26.18599,"FEMALE"
"Gentoo","Biscoe",51.3,14.2,218,5300,8.15426,-26.3433,"MALE"
"Gentoo","Biscoe",47.5,14,212,4875,8.12691,-26.23613,"FEMALE"
"Gentoo","Biscoe",52.1,17,230,5550,8.27595,-26.11657,"MALE"
"Gentoo","Biscoe",47.5,15,218,4950,8.29671,-26.08547,"FEMALE"
"Gentoo","Biscoe",52.2,17.1,228,5400,8.36701,-25.89834,"MALE"
"Gentoo","Biscoe",45.5,14.5,212,4750,8.15566,-26.22848,"FEMALE"
"Gentoo","Biscoe",49.5,16.1,224,5650,8.83352,-25.69195,"MALE"
"Gentoo","Biscoe",44.5,14.7,214,4850,8.20106,-26.16524,"FEMALE"
"Gentoo","Biscoe",50.8,15.7,226,5200,8.27102,-26.11244,"MALE"
"Gentoo","Biscoe",49.4,15.8,216,4925,8.03624,-26.06594,"MALE"
"Gentoo","Biscoe",46.9,14.6,222,4875,7.8881,-26.04726,"FEMALE"
"Gentoo","Biscoe",48.4,14.4,203,4625,8.16582,-26.13971,"FEMALE"
"Gentoo","Biscoe",51.1,16.5,225,5250,8.2066,-26.36863,"MALE"
"Gentoo","Biscoe",48.5,15,219,4850,8.10231,-26.18763,"FEMALE"
"Gentoo","Biscoe",55.9,17,228,5600,8.3118,-26.35425,"MALE"
"Gentoo","Biscoe",47.2,15.5,215,4975,8.30817,-26.21651,"FEMALE"
"Gentoo","Biscoe",49.1,15,228,5500,8.65914,-25.79203,"MALE"
"Gentoo","Biscoe",46.8,16.1,215,5500,8.32359,-26.05756,"MALE"
"Gentoo","Biscoe",41.7,14.7,210,4700,8.12311,-26.44815,"FEMALE"
"Gentoo","Biscoe",53.4,15.8,219,5500,8.41017,-26.33867,"MALE"
"Gentoo","Biscoe",43.3,14,208,4575,8.4207,-26.38092,"FEMALE"
"Gentoo","Biscoe",48.1,15.1,209,5500,8.45738,-26.22664,"MALE"
"Gentoo","Biscoe",50.5,15.2,216,5000,8.24691,-26.18466,"FEMALE"
"Gentoo","Biscoe",49.8,15.9,229,5950,8.29226,-26.21019,"MALE"
"Gentoo","Biscoe",43.5,15.2,213,4650,8.21634,-26.11046,"FEMALE"
"Gentoo","Biscoe",51.5,16.3,230,5500,8.78557,-25.76147,"MALE"
"Gentoo","Biscoe",46.2,14.1,217,4375,8.30231,-25.96013,"FEMALE"
"Gentoo","Biscoe",55.1,16,230,5850,8.08354,-26.18161,"MALE"
"Gentoo","Biscoe",48.8,16.2,222,6000,8.33825,-25.88547,"MALE"
"Gentoo","Biscoe",47.2,13.7,214,4925,7.99184,-26.20538,"FEMALE"
"Gentoo","Biscoe",46.8,14.3,215,4850,8.41151,-26.13832,"FEMALE"
"Gentoo","Biscoe",50.4,15.7,222,5750,8.30166,-26.04117,"MALE"
"Gentoo","Biscoe",45.2,14.8,212,5200,8.24246,-26.11969,"FEMALE"
"Gentoo","Biscoe",49.9,16.1,213,5400,8.3639,-26.15531,"MALE"
