"Species","Culmen.Length..mm.","Culmen.Depth..mm.","Body.Mass..g.","Delta.15.N..o.oo.","Delta.13.C..o.oo.","Sex"
"Adelie",42.2,18.5,3550,8.04787,-25.49523,"FEMALE"
"Adelie",37.6,19.3,3300,9.41131,-25.04169,"FEMALE"
"Adelie",36.5,18,3150,9.68933,-24.4228,"FEMALE"
"Adelie",36,18.5,3100,9.50772,-25.03492,"FEMALE"
"Adelie",44.1,19.7,4400,9.2372,-24.52698,"MALE"
"Adelie",37,16.9,3000,9.36392,-25.01745,"FEMALE"
"Adelie",39.6,18.8,4600,9.49106,-24.10255,"MALE"
"Adelie",36,17.9,3450,9.51784,-25.07683,"FEMALE"
"Adelie",42.3,21.2,4150,8.87988,-25.18543,"MALE"
"Adelie",39.6,17.7,3500,8.46616,-26.12989,"FEMALE"
"Adelie",40.1,18.9,4300,8.51362,-26.55602,"MALE"
"Adelie",35,17.9,3450,8.19539,-26.17213,"FEMALE"
"Adelie",42,19.5,4050,8.48095,-26.3146,"MALE"
"Adelie",34.5,18.1,2900,8.41837,-26.54718,"FEMALE"
"Adelie",41.4,18.6,3700,8.35396,-26.27853,"MALE"
"Adelie",39,17.5,3550,8.57199,-26.07188,"FEMALE"
"Adelie",40.6,18.8,3800,8.56674,-25.98843,"MALE"
"Adelie",36.5,16.6,2850,9.07878,-25.88156,"FEMALE"
"Adelie",37.6,19.1,3750,9.108,-25.89677,"MALE"
"Adelie",35.7,16.9,3150,8.96472,-26.40943,"FEMALE"
"Adelie",41.3,21.1,4400,8.74802,-26.37809,"MALE"
"Adelie",37.6,17,3600,8.58063,-26.21569,"FEMALE"
"Adelie",41.1,18.2,4050,8.62264,-26.60023,"MALE"
"Adelie",36.4,17.1,2850,8.62623,-26.1165,"FEMALE"
"Adelie",41.6,18,3950,8.85562,-26.09294,"MALE"
"Adelie",35.5,16.2,3350,8.56192,-25.95541,"FEMALE"
"Adelie",41.1,19.1,4100,8.71078,-25.81012,"MALE"
"Adelie",35.9,16.6,3050,8.47781,-26.07821,"FEMALE"
"Adelie",41.8,19.4,4450,8.86853,-26.06209,"MALE"
"Adelie",33.5,19,3600,7.88863,-26.63085,"FEMALE"
"Adelie",39.7,18.4,3900,9.29808,-25.23453,"MALE"
"Adelie",39.6,17.2,3550,8.33524,-26.55351,"FEMALE"
"Adelie",45.8,18.9,4150,8.18658,-26.45978,"MALE"
"Adelie",35.5,17.5,3700,8.70642,-26.15003,"FEMALE"
"Adelie",42.8,18.5,4250,8.2993,-26.38986,"MALE"
"Adelie",40.9,16.8,3700,8.47257,-26.02002,"FEMALE"
"Adelie",37.2,19.4,3900,8.3554,-26.44787,"MALE"
"Adelie",36.2,16.1,3550,7.82381,-26.51382,"FEMALE"
"Adelie",42.1,19.1,4000,9.05736,-25.81513,"MALE"
"Adelie",34.6,17.2,3200,7.69778,-26.5387,"FEMALE"
"Adelie",42.9,17.6,4700,8.63259,-26.23027,"MALE"
"Adelie",36.7,18.8,3800,7.88494,-26.24837,"FEMALE"
"Adelie",35.1,19.4,4200,8.90002,-26.46254,"MALE"
"Adelie",37.3,17.8,3350,8.32718,-26.38396,"FEMALE"
"Adelie",41.3,20.3,3550,9.14863,-26.09635,"MALE"
"Adelie",36.3,19.5,3800,8.57087,-26.22227,"MALE"
"Adelie",36.9,18.6,3500,8.59147,-26.08165,"FEMALE"
"Adelie",38.3,19.2,3950,9.07826,-26.12417,"MALE"
"Adelie",38.9,18.8,3600,8.36936,-26.11199,"FEMALE"
"Adelie",35.7,18,3550,8.46531,-26.05621,"FEMALE"
"Adelie",41.1,18.1,4300,8.77018,-25.83352,"MALE"
"Adelie",34,17.1,3400,8.01485,-26.69543,"FEMALE"
"Adelie",39.6,18.1,4450,8.49915,-26.42406,"MALE"
"Adelie",36.2,17.3,3300,8.90723,-26.30037,"FEMALE"
"Adelie",40.8,18.9,4300,8.48204,-26.57941,"MALE"
"Adelie",38.1,18.6,3700,8.10277,-26.50086,"FEMALE"
"Adelie",40.3,18.5,4350,8.39459,-26.01152,"MALE"
"Adelie",33.1,16.1,2900,9.04218,-26.15775,"FEMALE"
"Adelie",43.2,18.5,4100,8.97025,-26.03679,"MALE"
"Adelie",35,17.9,3725,8.84451,-26.28055,"FEMALE"
"Adelie",41,20,4725,9.01079,-26.38085,"MALE"
"Adelie",37.7,16,3075,9.2151,-26.2253,"FEMALE"
"Adelie",37.8,20,4250,9.51929,-25.69199,"MALE"
"Adelie",37.9,18.6,2925,9.02642,-25.86482,"FEMALE"
"Adelie",39.7,18.9,3550,8.85699,-25.80208,"MALE"
"Adelie",38.6,17.2,3750,8.77322,-26.48973,"FEMALE"
"Adelie",38.2,20,3900,9.59245,-25.70711,"MALE"
"Adelie",38.1,17,3175,9.79532,-25.27385,"FEMALE"
"Adelie",43.2,19,4775,9.31735,-25.45171,"MALE"
"Adelie",38.1,16.5,3825,8.43951,-26.57563,"FEMALE"
"Adelie",45.6,20.3,4600,8.65466,-26.32909,"MALE"
"Adelie",39.7,17.7,3200,9.02657,-26.06203,"FEMALE"
"Adelie",42.2,19.5,4275,8.80186,-26.41218,"MALE"
"Adelie",39.6,20.7,3900,8.80967,-26.78958,"FEMALE"
"Adelie",42.7,18.3,4075,8.91434,-26.42018,"MALE"
"Adelie",38.6,17,2900,9.18021,-25.77264,"FEMALE"
"Adelie",37.3,20.5,3775,9.49645,-26.36678,"MALE"
"Adelie",35.7,17,3350,8.96436,-23.90309,"FEMALE"
"Adelie",41.1,18.6,3325,9.32277,-26.09989,"MALE"
"Adelie",36.2,17.2,3150,9.04296,-26.19444,"FEMALE"
"Adelie",37.7,19.8,3500,9.11066,-26.42563,"MALE"
"Adelie",40.2,17,3450,9.30722,-25.61039,"FEMALE"
"Adelie",41.4,18.5,3875,9.59462,-25.42621,"MALE"
"Adelie",35.2,15.9,3050,8.81668,-25.95399,"FEMALE"
"Adelie",40.6,19,4000,9.22537,-25.60826,"MALE"
"Adelie",38.8,17.6,3275,8.88098,-25.89741,"FEMALE"
"Adelie",41.5,18.3,4300,8.52566,-26.0245,"MALE"
"Adelie",39,17.1,3050,9.19031,-25.73722,"FEMALE"
"Adelie",44.1,18,4000,9.10702,-26.01363,"MALE"
"Adelie",38.5,17.9,3325,8.9846,-25.57956,"FEMALE"
"Adelie",43.1,19.2,3500,8.86495,-26.1396,"MALE"
"Adelie",36.8,18.5,3500,8.98705,-25.57647,"FEMALE"
"Adelie",37.5,18.5,4475,8.56708,-26.49288,"MALE"
"Adelie",38.1,17.6,3425,8.717,-25.77951,"FEMALE"
"Adelie",41.1,17.5,3900,8.94365,-26.06943,"MALE"
"Adelie",35.6,17.5,3175,8.75984,-25.97696,"FEMALE"
"Adelie",40.2,20.1,3975,8.95998,-26.32601,"MALE"
"Adelie",37,16.5,3400,8.61651,-26.07021,"FEMALE"
"Adelie",39.7,17.9,4250,9.25769,-25.88798,"MALE"
"Adelie",40.2,17.1,3400,9.2881,-25.54976,"FEMALE"
"Adelie",40.6,17.2,3475,9.23408,-26.01549,"MALE"
"Adelie",32.1,15.5,3050,8.79787,-26.61075,"FEMALE"
"Adelie",40.7,17,3725,9.05674,-25.79529,"MALE"
"Adelie",37.3,16.8,3000,9.06829,-25.85203,"FEMALE"
"Adelie",39,18.7,3650,9.22033,-26.03442,"MALE"
"Adelie",39.2,18.6,4250,9.11006,-25.79549,"MALE"
"Adelie",36.6,18.4,3475,8.68744,-25.8306,"FEMALE"
"Adelie",36,17.8,3450,8.94332,-25.79189,"FEMALE"
"Adelie",37.8,18.1,3750,8.97533,-26.03495,"MALE"
"Adelie",36,17.1,3700,8.93465,-26.07081,"FEMALE"
"Adelie",41.5,18.5,4000,8.8964,-26.06967,"MALE"
"Chinstrap",46.5,17.9,3500,9.03935,-24.30229,"FEMALE"
"Chinstrap",50,19.5,3900,8.92069,-24.23592,"MALE"
"Chinstrap",51.3,19.2,3650,9.29078,-24.7557,"MALE"
"Chinstrap",45.4,18.7,3525,8.64701,-24.62717,"FEMALE"
"Chinstrap",52.7,19.8,3725,9.00642,-24.61867,"MALE"
"Chinstrap",45.2,17.8,3950,8.88942,-24.49433,"FEMALE"
"Chinstrap",46.1,18.2,3250,8.85664,-24.55644,"FEMALE"
"Chinstrap",51.3,18.2,3750,8.63701,-24.84059,"MALE"
"Chinstrap",46,18.9,4150,8.47173,-24.29229,"FEMALE"
"Chinstrap",51.3,19.9,3700,8.79581,-24.36088,"MALE"
"Chinstrap",46.6,17.8,3800,8.95063,-24.59897,"FEMALE"
"Chinstrap",51.7,20.3,3775,8.68747,-24.38751,"MALE"
"Chinstrap",47,17.3,3700,8.72037,-24.80526,"FEMALE"
"Chinstrap",52,18.1,4050,9.0233,-24.38933,"MALE"
"Chinstrap",45.9,17.1,3575,9.12277,-24.90024,"FEMALE"
"Chinstrap",50.5,19.6,4050,9.8059,-24.7294,"MALE"
"Chinstrap",50.3,20,3300,10.02019,-24.54704,"MALE"
"Chinstrap",58,17.8,3700,9.14382,-24.57994,"FEMALE"
"Chinstrap",46.4,18.6,3450,9.32105,-24.64162,"FEMALE"
"Chinstrap",49.2,18.2,4400,9.27158,-24.64335,"MALE"
"Chinstrap",42.4,17.3,3600,9.35138,-24.6879,"FEMALE"
"Chinstrap",48.5,17.5,3400,9.42666,-24.26375,"MALE"
"Chinstrap",43.2,16.6,2900,9.35416,-25.01185,"FEMALE"
"Chinstrap",50.6,19.4,3800,9.28153,-24.97134,"MALE"
"Chinstrap",46.7,17.9,3300,9.74144,-24.59467,"FEMALE"
"Chinstrap",52,19,4150,9.36799,-24.47142,"MALE"
"Chinstrap",50.5,18.4,3400,8.9399,-23.89017,"FEMALE"
"Chinstrap",49.5,19,3800,9.63074,-24.34684,"MALE"
"Chinstrap",46.4,17.8,3700,9.37369,-24.52896,"FEMALE"
"Chinstrap",52.8,20,4550,9.25177,-24.69638,"MALE"
"Chinstrap",40.9,16.6,3200,9.08458,-24.54903,"FEMALE"
"Chinstrap",54.2,20.8,4300,9.49283,-24.59996,"MALE"
"Chinstrap",42.5,16.7,3350,9.36668,-24.45195,"FEMALE"
"Chinstrap",51,18.8,4100,9.23196,-24.17282,"MALE"
"Chinstrap",49.7,18.6,3600,9.75486,-24.31198,"MALE"
"Chinstrap",47.5,16.8,3900,9.07825,-25.1455,"FEMALE"
"Chinstrap",47.6,18.3,3850,8.83502,-24.65859,"FEMALE"
"Chinstrap",52,20.7,4800,9.43146,-24.6844,"MALE"
"Chinstrap",46.9,16.6,2700,9.80589,-24.73735,"FEMALE"
"Chinstrap",53.5,19.9,4500,10.02544,-24.90816,"MALE"
"Chinstrap",49,19.5,3950,9.53262,-24.66867,"MALE"
"Chinstrap",46.2,17.5,3650,9.61734,-24.66188,"FEMALE"
"Chinstrap",50.9,19.1,3550,10.02372,-24.86594,"MALE"
"Chinstrap",45.5,17,3500,9.36493,-24.66259,"FEMALE"
"Chinstrap",50.9,17.9,3675,9.43684,-24.16566,"FEMALE"
"Chinstrap",50.8,18.5,4450,9.45827,-24.35575,"MALE"
"Chinstrap",50.1,17.9,3400,9.46819,-24.45721,"FEMALE"
"Chinstrap",49,19.6,4300,9.34089,-24.45189,"MALE"
"Chinstrap",51.5,18.7,3250,9.6895,-24.43062,"MALE"
"Chinstrap",49.8,17.3,3675,9.32169,-24.41562,"FEMALE"
"Chinstrap",48.1,16.4,3325,9.46929,-24.48403,"FEMALE"
"Chinstrap",51.4,19,3950,9.43782,-24.36202,"MALE"
"Chinstrap",45.7,17.3,3600,9.415,-24.805,"FEMALE"
"Chinstrap",50.7,19.7,4050,9.93727,-24.59066,"MALE"
"Chinstrap",42.5,17.3,3350,9.56534,-24.60882,"FEMALE"
"Chinstrap",52.2,18.8,3450,9.77528,-24.56481,"MALE"
"Chinstrap",45.2,16.6,3250,9.62357,-24.78984,"FEMALE"
"Chinstrap",49.3,19.9,4050,9.88809,-24.59513,"MALE"
"Chinstrap",50.2,18.8,3800,9.74492,-24.404,"MALE"
"Chinstrap",45.6,19.4,3525,9.46985,-24.65786,"FEMALE"
"Chinstrap",46.8,16.5,3650,9.65061,-24.48153,"FEMALE"
"Chinstrap",45.7,17,3650,9.26715,-24.31912,"FEMALE"
"Chinstrap",55.8,19.8,4000,9.70465,-24.53494,"MALE"
"Chinstrap",43.5,18.1,3400,9.37608,-24.40753,"FEMALE"
"Chinstrap",49.6,18.2,3775,9.4618,-24.70615,"MALE"
"Chinstrap",50.8,19,4100,9.98044,-24.68741,"MALE"
"Chinstrap",50.2,18.7,3775,9.39305,-24.25255,"FEMALE"
"Gentoo",46.1,13.2,4500,7.993,-25.5139,"FEMALE"
"Gentoo",50,16.3,5700,8.14756,-25.39369,"MALE"
"Gentoo",48.7,14.1,4450,8.14705,-25.46172,"FEMALE"
"Gentoo",50,15.2,5700,8.2554,-25.40075,"MALE"
"Gentoo",47.6,14.5,5400,8.2345,-25.54456,"MALE"
"Gentoo",46.5,13.5,4550,7.9953,-25.32829,"FEMALE"
"Gentoo",45.4,14.6,4800,8.24515,-25.46782,"FEMALE"
"Gentoo",46.7,15.3,5200,8.22673,-25.4276,"MALE"
"Gentoo",43.3,13.4,4400,8.13643,-25.32176,"FEMALE"
"Gentoo",46.8,15.4,5150,8.1631,-25.38017,"MALE"
"Gentoo",40.9,13.7,4650,8.19579,-25.3933,"FEMALE"
"Gentoo",49,16.1,5550,8.10417,-25.50562,"MALE"
"Gentoo",45.5,13.7,4650,7.77672,-25.4168,"FEMALE"
"Gentoo",48.4,14.6,5850,7.8208,-25.48025,"MALE"
"Gentoo",45.8,14.6,4200,7.79958,-25.62618,"FEMALE"
"Gentoo",49.3,15.7,5850,8.07137,-25.52473,"MALE"
"Gentoo",42,13.5,4150,7.63884,-25.52627,"FEMALE"
"Gentoo",49.2,15.2,6300,8.27376,-25.00169,"MALE"
"Gentoo",46.2,14.5,4800,7.84057,-25.37899,"FEMALE"
"Gentoo",48.7,15.1,5350,7.96491,-25.39587,"MALE"
"Gentoo",50.2,14.3,5700,7.8962,-25.37746,"MALE"
"Gentoo",45.1,14.5,5000,7.6322,-25.46569,"FEMALE"
"Gentoo",46.5,14.5,4400,7.90436,-25.3947,"FEMALE"
"Gentoo",46.3,15.8,5050,7.90971,-25.38157,"MALE"
"Gentoo",42.9,13.1,5000,7.68528,-25.39181,"FEMALE"
"Gentoo",46.1,15.1,5100,7.83733,-25.42826,"MALE"
"Gentoo",47.8,15,5650,7.92358,-25.48383,"MALE"
"Gentoo",48.2,14.3,4600,7.6887,-25.50811,"FEMALE"
"Gentoo",50,15.3,5550,8.30515,-25.19017,"MALE"
"Gentoo",42.8,14.2,4700,7.63452,-25.46327,"FEMALE"
"Gentoo",45.1,14.5,5050,7.97408,-25.53768,"FEMALE"
"Gentoo",59.6,17,6050,7.76843,-25.6821,"MALE"
"Gentoo",49.1,14.8,5150,7.89744,-26.63405,"FEMALE"
"Gentoo",48.4,16.3,5400,8.03659,-26.86127,"MALE"
"Gentoo",42.6,13.7,4950,7.96935,-26.70968,"FEMALE"
"Gentoo",44.4,17.3,5250,8.13746,-26.79093,"MALE"
"Gentoo",44,13.6,4350,8.01979,-26.68311,"FEMALE"
"Gentoo",48.7,15.7,5350,8.14776,-26.84506,"MALE"
"Gentoo",42.7,13.7,3950,8.14567,-26.59467,"FEMALE"
"Gentoo",49.6,16,5700,8.38324,-26.84272,"MALE"
"Gentoo",45.3,13.7,4300,8.37615,-26.72791,"FEMALE"
"Gentoo",49.6,15,4750,8.26548,-26.7699,"MALE"
"Gentoo",50.5,15.9,5550,8.46894,-26.60436,"MALE"
"Gentoo",43.6,13.9,4900,8.27141,-26.7765,"FEMALE"
"Gentoo",45.5,13.9,4200,8.47829,-26.61788,"FEMALE"
"Gentoo",50.5,15.9,5400,8.65803,-26.57585,"MALE"
"Gentoo",44.9,13.3,5100,8.45167,-26.89644,"FEMALE"
"Gentoo",45.2,15.8,5300,8.55868,-26.67799,"MALE"
"Gentoo",46.6,14.2,4850,8.38289,-26.86352,"FEMALE"
"Gentoo",48.5,14.1,5300,8.39867,-26.79358,"MALE"
"Gentoo",45.1,14.4,4400,8.51951,-27.01854,"FEMALE"
"Gentoo",50.1,15,5000,8.50153,-26.61414,"MALE"
"Gentoo",46.5,14.4,4900,8.48789,-26.83006,"FEMALE"
"Gentoo",45,15.4,5050,8.63488,-26.75621,"MALE"
"Gentoo",43.8,13.9,4300,8.58319,-26.84415,"FEMALE"
"Gentoo",45.5,15,5000,8.63604,-26.7489,"MALE"
"Gentoo",43.2,14.5,4450,8.48367,-26.86485,"FEMALE"
"Gentoo",50.4,15.3,5550,8.74647,-26.79846,"MALE"
"Gentoo",45.3,13.8,4200,8.65015,-26.79053,"FEMALE"
"Gentoo",46.2,14.9,5300,8.60092,-26.84374,"MALE"
"Gentoo",45.7,13.9,4400,8.6287,-26.60484,"FEMALE"
"Gentoo",54.3,15.7,5650,8.49662,-26.84166,"MALE"
"Gentoo",45.8,14.2,4700,8.60447,-26.61601,"FEMALE"
"Gentoo",49.8,16.8,5700,8.47067,-26.69166,"MALE"
"Gentoo",49.5,16.2,5800,8.49854,-26.74809,"MALE"
"Gentoo",43.5,14.2,4700,8.64931,-26.68867,"FEMALE"
"Gentoo",50.7,15,5550,8.63551,-26.74249,"MALE"
"Gentoo",47.7,15,4750,8.53018,-26.72751,"FEMALE"
"Gentoo",46.4,15.6,5000,8.35078,-26.70783,"MALE"
"Gentoo",48.2,15.6,5100,8.24651,-26.66958,"MALE"
"Gentoo",46.5,14.8,5200,8.58487,-26.5929,"FEMALE"
"Gentoo",46.4,15,4700,8.47938,-26.9547,"FEMALE"
"Gentoo",48.6,16,5800,8.5964,-26.71199,"MALE"
"Gentoo",47.5,14.2,4600,8.39299,-26.78733,"FEMALE"
"Gentoo",51.1,16.3,6000,8.40327,-26.76821,"MALE"
"Gentoo",45.2,13.8,4750,8.24694,-26.65359,"FEMALE"
"Gentoo",45.2,16.4,5950,8.19749,-26.65931,"MALE"
"Gentoo",49.1,14.5,4625,8.35802,-26.2766,"FEMALE"
"Gentoo",52.5,15.6,5450,8.28601,-26.27573,"MALE"
"Gentoo",47.4,14.6,4725,8.19101,-26.24369,"FEMALE"
"Gentoo",50,15.9,5350,8.20042,-26.39677,"MALE"
"Gentoo",44.9,13.8,4750,8.11238,-26.20372,"FEMALE"
"Gentoo",50.8,17.3,5600,8.27428,-26.30019,"MALE"
"Gentoo",43.4,14.4,4600,8.23468,-26.18599,"FEMALE"
"Gentoo",51.3,14.2,5300,8.15426,-26.3433,"MALE"
"Gentoo",47.5,14,4875,8.12691,-26.23613,"FEMALE"
"Gentoo",52.1,17,5550,8.27595,-26.11657,"MALE"
"Gentoo",47.5,15,4950,8.29671,-26.08547,"FEMALE"
"Gentoo",52.2,17.1,5400,8.36701,-25.89834,"MALE"
"Gentoo",45.5,14.5,4750,8.15566,-26.22848,"FEMALE"
"Gentoo",49.5,16.1,5650,8.83352,-25.69195,"MALE"
"Gentoo",44.5,14.7,4850,8.20106,-26.16524,"FEMALE"
"Gentoo",50.8,15.7,5200,8.27102,-26.11244,"MALE"
"Gentoo",49.4,15.8,4925,8.03624,-26.06594,"MALE"
"Gentoo",46.9,14.6,4875,7.8881,-26.04726,"FEMALE"
"Gentoo",48.4,14.4,4625,8.16582,-26.13971,"FEMALE"
"Gentoo",51.1,16.5,5250,8.2066,-26.36863,"MALE"
"Gentoo",48.5,15,4850,8.10231,-26.18763,"FEMALE"
"Gentoo",55.9,17,5600,8.3118,-26.35425,"MALE"
"Gentoo",47.2,15.5,4975,8.30817,-26.21651,"FEMALE"
"Gentoo",49.1,15,5500,8.65914,-25.79203,"MALE"
"Gentoo",46.8,16.1,5500,8.32359,-26.05756,"MALE"
"Gentoo",41.7,14.7,4700,8.12311,-26.44815,"FEMALE"
"Gentoo",53.4,15.8,5500,8.41017,-26.33867,"MALE"
"Gentoo",43.3,14,4575,8.4207,-26.38092,"FEMALE"
"Gentoo",48.1,15.1,5500,8.45738,-26.22664,"MALE"
"Gentoo",50.5,15.2,5000,8.24691,-26.18466,"FEMALE"
"Gentoo",49.8,15.9,5950,8.29226,-26.21019,"MALE"
"Gentoo",43.5,15.2,4650,8.21634,-26.11046,"FEMALE"
"Gentoo",51.5,16.3,5500,8.78557,-25.76147,"MALE"
"Gentoo",46.2,14.1,4375,8.30231,-25.96013,"FEMALE"
"Gentoo",55.1,16,5850,8.08354,-26.18161,"MALE"
"Gentoo",48.8,16.2,6000,8.33825,-25.88547,"MALE"
"Gentoo",47.2,13.7,4925,7.99184,-26.20538,"FEMALE"
"Gentoo",46.8,14.3,4850,8.41151,-26.13832,"FEMALE"
"Gentoo",50.4,15.7,5750,8.30166,-26.04117,"MALE"
"Gentoo",45.2,14.8,5200,8.24246,-26.11969,"FEMALE"
"Gentoo",49.9,16.1,5400,8.3639,-26.15531,"MALE"
